epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,757.614,1.81786,1.60244,1.3401,0.55914,0.39583,0.31419,0.13643,1.89066,1.84532,1.49548,0.0011882,0.0011882,0.0011882
43,775.432,1.66191,1.50374,1.23688,0.5674,0.375,0.29451,0.12181,2.00693,1.72986,1.52789,0.0011684,0.0011684,0.0011684
44,793.325,1.72121,1.45593,1.24931,0.43444,0.44792,0.29103,0.1092,1.99698,1.81773,1.43754,0.0011486,0.0011486,0.0011486
45,811.102,1.62753,1.49328,1.24209,0.49668,0.40625,0.3153,0.13553,2.00654,1.75978,1.44994,0.0011288,0.0011288,0.0011288
46,828.849,1.64611,1.41032,1.21706,0.60238,0.34375,0.30151,0.14247,1.98588,1.69274,1.47215,0.001109,0.001109,0.001109
47,846.644,1.56776,1.37217,1.21382,0.56582,0.40625,0.32122,0.13564,2.01691,1.62457,1.50062,0.0010892,0.0010892,0.0010892
48,864.442,1.62974,1.3833,1.17877,0.45863,0.40625,0.34493,0.14802,1.99961,1.74952,1.4938,0.0010694,0.0010694,0.0010694
49,882.177,1.67314,1.48047,1.18596,0.49313,0.43579,0.37081,0.16855,1.97239,1.64358,1.50207,0.0010496,0.0010496,0.0010496
50,899.923,1.64846,1.44433,1.25775,0.50975,0.40079,0.35856,0.16088,2.01483,1.53348,1.53291,0.0010298,0.0010298,0.0010298
51,917.722,1.67734,1.46524,1.20257,0.45673,0.52083,0.37371,0.16465,1.91381,1.54415,1.44862,0.00101,0.00101,0.00101
52,935.451,1.77329,1.67616,1.22103,0.55274,0.44792,0.39283,0.18032,1.93541,1.60929,1.47208,0.0009902,0.0009902,0.0009902
53,953.487,1.49918,1.33515,1.14738,0.54423,0.4375,0.35039,0.17291,1.88695,1.62638,1.43953,0.0009704,0.0009704,0.0009704
54,971.229,1.66899,1.36159,1.21549,0.49381,0.44792,0.33595,0.15813,1.86611,1.63764,1.44296,0.0009506,0.0009506,0.0009506
55,989.109,1.70983,1.47887,1.24616,0.45616,0.4375,0.33209,0.16687,1.83978,1.59134,1.42899,0.0009308,0.0009308,0.0009308
56,1007.02,1.75212,1.31641,1.21241,0.57619,0.39654,0.40009,0.18845,1.76093,1.49449,1.33204,0.000911,0.000911,0.000911
57,1024.8,1.6426,1.28964,1.18883,0.63077,0.39583,0.37445,0.17067,1.87628,1.48099,1.38455,0.0008912,0.0008912,0.0008912
58,1042.54,1.7021,1.43404,1.16782,0.60654,0.40148,0.3722,0.17466,1.91289,1.47386,1.39478,0.0008714,0.0008714,0.0008714
59,1060.25,1.68857,1.44019,1.16026,0.61496,0.41593,0.36393,0.17289,1.91239,1.44447,1.39502,0.0008516,0.0008516,0.0008516
60,1078.06,1.77466,1.41275,1.21245,0.58337,0.35417,0.32694,0.15844,1.86646,1.48476,1.38229,0.0008318,0.0008318,0.0008318
61,1095.89,1.58782,1.3253,1.16654,0.50119,0.39583,0.32315,0.1637,1.85576,1.53264,1.37571,0.000812,0.000812,0.000812
62,1113.64,1.57705,1.33808,1.14323,0.52065,0.41864,0.35308,0.16677,1.87059,1.56137,1.40059,0.0007922,0.0007922,0.0007922
63,1131.51,1.68215,1.37165,1.19829,0.54065,0.47815,0.37955,0.16458,1.92588,1.59391,1.42253,0.0007724,0.0007724,0.0007724
64,1149.35,1.56349,1.30728,1.1687,0.559,0.42708,0.3647,0.15914,1.89482,1.56297,1.38617,0.0007526,0.0007526,0.0007526
65,1167.28,1.56656,1.30647,1.14822,0.58139,0.42708,0.3466,0.15583,1.86123,1.50269,1.37473,0.0007328,0.0007328,0.0007328
66,1185.07,1.55211,1.27326,1.14711,0.49894,0.45833,0.37179,0.17377,1.84672,1.44445,1.34878,0.000713,0.000713,0.000713
67,1202.9,1.58376,1.29006,1.11979,0.52305,0.40625,0.36927,0.17998,1.85485,1.43512,1.34816,0.0006932,0.0006932,0.0006932
68,1220.67,1.65686,1.31215,1.14817,0.5197,0.42708,0.37477,0.17882,1.8796,1.4292,1.35811,0.0006734,0.0006734,0.0006734
69,1238.54,1.45558,1.19546,1.13076,0.56405,0.45833,0.39957,0.19365,1.8309,1.44921,1.3844,0.0006536,0.0006536,0.0006536
70,1256.31,1.47567,1.21506,1.12822,0.56437,0.46875,0.40356,0.18546,1.85781,1.60618,1.40621,0.0006338,0.0006338,0.0006338
71,1274.29,1.45457,1.17233,1.12945,0.52671,0.46875,0.4115,0.18621,1.9363,1.71436,1.43856,0.000614,0.000614,0.000614
72,1292.07,1.62077,1.32503,1.15681,0.59914,0.49823,0.426,0.19012,1.78837,1.45722,1.34881,0.0005942,0.0005942,0.0005942
73,1309.8,1.43146,1.15494,1.12308,0.60723,0.47917,0.41261,0.18751,1.74875,1.36822,1.33869,0.0005744,0.0005744,0.0005744
74,1327.59,1.44345,1.37122,1.10348,0.5897,0.46875,0.43163,0.19648,1.77776,1.35859,1.36673,0.0005546,0.0005546,0.0005546
75,1345.51,1.43262,1.13761,1.1163,0.57182,0.46875,0.40041,0.19216,1.85621,1.36355,1.40798,0.0005348,0.0005348,0.0005348
76,1363.28,1.57064,1.24476,1.15894,0.55063,0.43401,0.3943,0.18221,1.88391,1.449,1.42,0.000515,0.000515,0.000515
77,1381.01,1.42521,1.15335,1.10137,0.51591,0.41667,0.37273,0.17502,1.89559,1.46688,1.4288,0.0004952,0.0004952,0.0004952
78,1398.71,1.28563,1.13443,1.09322,0.56079,0.44792,0.39703,0.18207,1.8623,1.46205,1.41124,0.0004754,0.0004754,0.0004754
79,1416.42,1.45368,1.19944,1.08649,0.56997,0.45833,0.41424,0.19542,1.78269,1.41121,1.37764,0.0004556,0.0004556,0.0004556
80,1434.23,1.44149,1.21699,1.11642,0.58097,0.4375,0.38544,0.19489,1.78631,1.38631,1.37809,0.0004358,0.0004358,0.0004358
81,1452.11,1.3869,1.14018,1.10718,0.64155,0.44792,0.42023,0.19989,1.74548,1.361,1.35971,0.000416,0.000416,0.000416
82,1501.7,1.28107,1.11602,1.04709,0.58987,0.4375,0.41315,0.20359,1.75589,1.34442,1.35802,0.0003962,0.0003962,0.0003962
83,1559.26,1.44192,1.1261,1.09129,0.63568,0.46875,0.4389,0.21136,1.74889,1.35623,1.35012,0.0003764,0.0003764,0.0003764
84,1618.41,1.403,1.07778,1.09147,0.66003,0.44792,0.43673,0.21178,1.77119,1.3806,1.33999,0.0003566,0.0003566,0.0003566
85,1678.94,1.34073,1.11734,1.07319,0.63173,0.45833,0.43969,0.21588,1.73695,1.37534,1.32911,0.0003368,0.0003368,0.0003368
86,1741.72,1.30375,1.03452,1.1043,0.59775,0.52083,0.46645,0.21271,1.71435,1.36226,1.32694,0.000317,0.000317,0.000317
87,1798.72,1.39838,1.14052,1.12375,0.57764,0.5,0.44966,0.20593,1.70333,1.38424,1.33745,0.0002972,0.0002972,0.0002972
88,1848.73,1.44516,1.09605,1.09312,0.5231,0.4799,0.40957,0.19959,1.69976,1.37915,1.34845,0.0002774,0.0002774,0.0002774
